Song Name,Artist,Album
Sunburn,Muse,Showbiz
Rosemary,Deftones,Koi No Yokan
Threshold,Sex Bob-Omb,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)
Garbage Truck,Sex Bob-Omb,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)
Bu Havada Gidilmez,Manuş Baba,Ve Nazan Öncel Şarkıları
Espresso,Sabrina Carpenter,Short n' Sweet
I Don't Care,VIOLENT VIRA,I Don't Care
Başkası Mı Var,Skapova,Başkası Mı Var
Aşk Kırıntıları,Teoman,Renkli Rüyalar Oteli
Sen Ve Ben,Dolu Kadehi Ters Tut,Akustik Takılmacalar
Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition)
Last Resort,Papa Roach,Infest
Chop Suey!,System Of A Down,Toxicity
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT
Beanie,Chezile,Beanie
Exploring Yourself With a Knife,April Rain,Waiting for Sunrise
One Is Glad to Be of Service,April Rain,One Is Glad to Be of Service
Cherry-coloured Funk,Cocteau Twins,Heaven or Las Vegas
Angel,Massive Attack,Mezzanine
Hear Me Roar - Acoustic,NerdOut,Hear Me Roar (Acoustic)
The King Is Dead,J.T. Peterson,Petrichor
The Lovecats,The Cure,Japanese Whispers
"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]",Akano,"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]"
Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,Eyes Blue Like The Atlantic (feat. Subvrbs)
Gözlerin,kerem,Gözlerin
Kalbin bana kaldı,ALIZADE,Kalbin bana kaldı
Kuchalara Soo Sapmisham,Rashid Beibutov,Arshin Mul Ullun
Viva Nao Mais,Freddie Dredd,Viva Nao Mais
BLUE,Billie Eilish,HIT ME HARD AND SOFT
Manidar,Son Feci Bisiklet,Sistemik
Eski Günler,Yabancılar,Eski Günler
Helal All Day,BEGE,YBF
Son Yaz Günü,Holistic Tsunami,Son Yaz Günü
O Gece,Yabancılar,O Gece
Evet Öyleyim,Kilink,Sahibinin Sesi
Çok Zor,BEGE,YBF
Galaksi,BEGE,YBF
Apart,The Cure,Wish
Neyin Nesi,Dolu Kadehi Ters Tut,Neyin Nesi
Weird Fishes/ Arpeggi,Radiohead,In Rainbows
Fool,Frankie Cosmos,Next Thing
Hayalet,BEGE,YBF
Manifest,BEGE,YBF
Mümkünse,BEGE,YBF
2T1BB,BEGE,2T1BB (ft. Yung Ouzo)
ELLERİM BOŞ,M Lisa,ELLERİM BOŞ
Şiir Oldum,Emre Nalbantoğlu,EN KRAL CEKET BENİM
Çünkü Başka Sen Yok,Kalben,Çünkü Başka Sen Yok
Torna,Son Feci Bisiklet,Sistemik
Yalnız Başıma,Skapova,Yalnız Başıma
Bildiğim Gibi,Deeperise,Bildiğim Gibi
Broken,Lund,Broken
Yaşamak,Kum,Yaşamak
House Of Balloons / Glass Table Girls,The Weeknd,Trilogy
Yol,Kayra,Bütün Ayazların Ortasında
hayalet kız,insanlar gerçek olsa,YALNIZLAR NE DİNLER
gökkuşağında,uclercagri,gökkuşağında / o
Seni Dert Etmeler,jesp,Seni Dert Etmeler
I Bet on Losing Dogs,Mitski,Puberty 2
Carpe Diem Baby,Metallica,Reload
Al 1'de Burdan Yak,Sagopa Kajmer,G.O.R.A. (Orijinal Film Müzikleri)
Tonight (demo),Amira Elfeky,Tonight (demo)
Happy Nation,Ace of Base,Happy Nation
Ölümle Yaşam Arasında,Mavi Gri,Ölümle Yaşam Arasında
Hani Benim Gençliğim,Ahmet Kaya,Yorgun Demokrat
Crying Lightning,Arctic Monkeys,Humbug
Decode,Paramore,Decode
YOK,Holistic Tsunami,YOK
Yaz Bittiğinde,Palmiyeler,İkimiz
Limonlu Kek,Kaste-Ekom,Limonlu Kek
Yo Chico,hxllfxllaa.,Yo Chico
your favorite dress,Lil Peep,CASTLES II
nuts,Lil Peep,LIVE FOREVER
Falling Down - Bonus Track,Lil Peep,"Come Over When You're Sober, Pt. 2"
